Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Újrahasznosító Egység	Entitás	Aether	Fogaskerék Szövetség	Kiborg / Pap	Pap	5	4	3	4	[DOMÍNIUM] Visszhang (Echo): Ha elpusztul, visszavehetsz egy 2-es vagy annál kisebb Magnitúdójú Aether Entitást a saját Ürességedből a kezedbe.	[DOMINIUM] echo: when this dies, return target Aether entity with magnitude 2 or less from your graveyard to your hand	dominium, graveyard, hand	echo	on_death	own_graveyard_entity	graveyard_recursion, return_to_hand	instant	target_must_be_an_aether_entity_in_your_graveyard_with_magnitude_lte_2	Ha elpusztul, egy 2-es vagy kisebb Magnitúdójú Aether entitást visszavehetsz az Ürességből a kezedbe.	elso_koros_gepi_ertelmezes	Egyszerű feltételes graveyard recursion Echo-val.
Omega Fogaskerék-Kolosszus	Entitás	Aether	Fogaskerék Szövetség	Gépezet / Alap	Alap	7	7	7	7	[HORIZONT] Oltalom (Aegis). [DOMÍNIUM] Ha ez az Entitás halálos sebzést kapna, kifizethetsz X Aurát (amennyi a kártya szintje). Ha megteszed, a sebzés érvénytelenítődik, és a lény a pályán marad.	[HORIZONT] aegis; [DOMINIUM] if this would take lethal damage, you may pay X aura equal to its magnitude to prevent that damage	horizont, dominium	aegis	on_combat_damage_taken	self	damage_prevention, resource_gain	instant	requires_paying_aura_equal_to_this_cards_magnitude_when_it_would_take_lethal_damage	Oltalommal rendelkezik, és halálos sebzésnél a Magnitúdójával egyező Aura kifizetésével a sebzés megelőzhető.	osszetett_egyedi	X-költséges halálmegelőzés, ahol X a saját Magnitúdó.
Goliath a Sétaerőd	Entitás	Aether	Fogaskerék Szövetség	Gépezet / Hős	Hős	8	6	6	8	[HORIZONT] Oltalom (Aegis). Hasítás (Sundering). [DOMÍNIUM] Ha ez az Entitás halálos sebzést kapna, kifizethetsz X Aurát (amennyi a kártya szintje). Ha megteszed, a sebzés érvénytelenítődik, és a lény a pályán marad.	[HORIZONT] aegis; sundering; [DOMINIUM] if this would take lethal damage, you may pay X aura equal to its magnitude to prevent that damage	horizont, dominium	aegis, sundering	on_combat_damage_taken	self	damage_prevention, resource_gain	instant	requires_paying_aura_equal_to_this_cards_magnitude_when_it_would_take_lethal_damage	Oltalommal és Hasítással rendelkezik, és halálos sebzésnél a Magnitúdójával egyező Aura kifizetésével a sebzés megelőzhető.	osszetett_egyedi	Több keyword melletti X-költséges halálmegelőzés.
Fogaskerék-Szerelő	Entitás	Aether	Fogaskerék Szövetség	Ember	Harcos	1	1	1	2	[DOMÍNIUM] Riadó (Clarion): Tölts vissza 1 HP-t egy saját Gépezet vagy Kiborg Entitásodnak.	[DOMINIUM] clarion: heal 1 to target allied Gepezet or Kiborg entity	dominium	clarion	on_summon	own_entity	heal	instant	target_must_be_an_allied_gepezet_or_kiborg_entity	Clarionkor 1 HP-t gyógyítasz egy saját Gépezet vagy Kiborg entitáson.	elso_koros_gepi_ertelmezes	Egyszerű fajszűrt heal Clarion.
Gőzszelepes Felderítő	Entitás	Aether	Fogaskerék Szövetség	Kiborg	Kósza	1	1	2	1	[HORIZONT] Gyorsaság (Celerity).	[HORIZONT] celerity	horizont	celerity	static	self	blank	static_while_on_board	none	A Horizonton Gyorsaság kulcsszóval rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Fémkereső Robotkutya	Entitás	Aether	Fogaskerék Szövetség	Gépezet	Alap	1	2	1	2	[DOMÍNIUM] Riadó (Clarion): Húzz 1 lapot. Ha az a lap egy Gépezet, mutasd meg és húzz még egyet!	[DOMINIUM] clarion: draw 1; if it is a Gepezet, reveal it and draw 1 more	dominium, deck, hand	clarion	on_summon	self	draw	instant	draw_1_then_if_the_drawn_card_is_a_gepezet_reveal_it_and_draw_1_more	Clarionkor húzol 1 lapot, és ha az Gépezet, felfeded és húzol még 1 lapot.	osszetett_egyedi	Feltételes második húzás a felhúzott lap típusa alapján.
Olajozó Drón	Entitás	Aether	Fogaskerék Szövetség	Gépezet	Pap	2	2	1	3	[ZENIT] Harmonizálás (Harmonize). Az általa támogatott Entitás minden kör végén visszatölt magának 1 HP-t.	[ZENIT] harmonize; the supported entity heals 1 at each turn end	zenit	harmonize	on_turn_end	own_horizont_entity	heal	instant	target_is_the_entity_supported_by_this_harmonize	Harmonizálást ad, és a támogatott entitás minden kör végén 1 HP-t gyógyul.	osszetett_egyedi	Harmonize-hoz kötött ismétlődő turn-end heal.
Lángszórós Kiborg	Entitás	Aether	Fogaskerék Szövetség	Kiborg	Harcos	2	2	3	2	[HORIZONT] Hasítás (Sundering).	[HORIZONT] sundering	horizont	sundering	static	self	blank	static_while_on_board	none	A Horizonton Hasítás kulcsszóval rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Automata Őrszem	Entitás	Aether	Fogaskerék Szövetség	Gépezet	Lovag	2	2	1	4	[HORIZONT] Oltalom (Aegis).	[HORIZONT] aegis	horizont	aegis	static	self	blank	static_while_on_board	none	A Horizonton Oltalom kulcsszóval rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Páncélkovács Mester	Entitás	Aether	Fogaskerék Szövetség	Ember	Harcos	3	3	2	4	[ZENIT] Rezonancia 2. Minden saját Manifesztáció fázisodban adhatsz +1 maximális HP-t egy saját Gépezetnek.	[ZENIT] resonance 2; during your manifestation phase, target allied Gepezet gains +1 max HP	zenit	resonance	on_influx_phase	own_entity	hp_mod	until_match_end	target_must_be_an_allied_gepezet	Rezonancia 2-t ad, és a Manifesztáció fázisodban egy saját Gépezet +1 max HP-t kaphat.	osszetett_egyedi	Fázis-alapú permanens buff fajszűréssel.
Gyár-Felügyelő	Entitás	Aether	Fogaskerék Szövetség	Ember	Parancsnok	3	3	2	3	[DOMÍNIUM] Riadó (Clarion): Idézz le egy 1/1-es Gépezet Tokent a Horizont egy üres mezőjére.	[DOMINIUM] clarion: summon a 1/1 Gepezet token to an empty Horizont slot	dominium, horizont	clarion	on_summon	own_horizont_entity	summon_token	instant	requires_an_empty_horizont_slot	Clarionkor egy 1/1-es Gépezet tokent idézel a Horizont egy üres mezőjére.	elso_koros_gepi_ertelmezes	Egyszerű tokenidézés Clarion.
Rakétás Drón	Entitás	Aether	Fogaskerék Szövetség	Gépezet	Vadász	3	3	3	2	[HORIZONT] Gyorsaság (Celerity). Amikor megidézed, azonnal okoz 1 sebzést egy ellenséges Entitásnak a Zenitben.	[HORIZONT] celerity; on summon, deal 1 damage to target enemy Zenit entity	horizont, zenit	celerity	on_summon	enemy_zenit_entity	damage	instant	none	Gyorsasággal rendelkezik, és megidézésekor 1 sebzést okoz egy ellenséges Zenit-entitásnak.	elso_koros_gepi_ertelmezes	Egyszerű summon damage hátsó soros célpontra.
Mechanikus Skorpió	Entitás	Aether	Fogaskerék Szövetség	Gépezet	Orgyilkos	4	4	4	3	[HORIZONT] Métely (Bane). Ha ez az Entitás elpusztít egy ellenfelet, húzz 1 lapot a paklidból.	[HORIZONT] bane; when this destroys an enemy, draw 1	horizont	bane	on_death	self	draw	instant	trigger_when_this_destroys_an_enemy_entity	Métellyel rendelkezik, és ha elpusztít egy ellenfelet, húzol 1 lapot.	elso_koros_gepi_ertelmezes	Egyszerű kill-trigger draw keyword mellett.
Réz Gólem	Entitás	Aether	Fogaskerék Szövetség	Gólem	Alap	4	4	3	6	[HORIZONT] Oltalom (Aegis). Bármikor, amikor egy saját Rituálét játszol ki, a Réz Gólem kap +1 ATK-t az adott kör végéig.	[HORIZONT] aegis; whenever you play a ritual, this gains +1 ATK until end of turn	horizont	aegis	on_spell_cast_by_owner	self	atk_mod	until_turn_end	trigger_only_if_you_play_a_ritual	Oltalommal rendelkezik, és amikor saját Rituálét játszol ki, +1 ATK-t kap a kör végéig.	elso_koros_gepi_ertelmezes	Spell-cast triggeres ideiglenes önbuff.
Gőzhajtású Sárkány	Entitás	Aether	Fogaskerék Szövetség	Gépezet	Alap	5	5	5	5	[HORIZONT] Légies (Ethereal). Hasítás (Sundering).	[HORIZONT] ethereal; sundering	horizont	ethereal, sundering	static	self	blank	static_while_on_board	none	A Horizonton Légies és Hasítás kulcsszóval rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Két natív keywordös lap.
Kibernetikus Hadvezér	Entitás	Aether	Fogaskerék Szövetség	Kiborg	Parancsnok	5	5	4	5	[ZENIT] Rezonancia 1. Amíg a Zenitben van, minden saját Gépezet és Kiborg Entitásod a Horizonton kap +1 ATK-t és +1 max HP-t.	[ZENIT] resonance 1; while in Zenit, your Gepezet and Kiborg entities on Horizont gain +1 ATK and +1 max HP	zenit, horizont	resonance	static	own_horizont_entities	atk_mod, hp_mod	static_while_on_board	affects_only_allied_gepezet_and_kiborg_entities_on_horizont	Rezonancia 1-et ad, és amíg a Zenitben van, minden saját Gépezet és Kiborg Horizont-entitásod +1 ATK-t és +1 max HP-t kap.	osszetett_egyedi	Folyamatos fajszűrt tömeges buff.
Vaskastély Őre	Entitás	Aether	Fogaskerék Szövetség	Gólem	Lovag	6	6	4	7	[HORIZONT] Oltalom (Aegis). Nem Kimerül (nem kell elforgatni) az első blokkolása során a körben.	[HORIZONT] aegis; this does not exhaust during its first block each turn	horizont	aegis	on_block_survived	self	exhaust	instant	applies_only_to_the_first_block_this_turn	Oltalommal rendelkezik, és az első blokkolása során a körben nem Kimerül.	osszetett_egyedi	Blokkoláshoz kötött első alkalmas exhaust-kivétel.
Plazma-Ágyús Titán	Entitás	Aether	Fogaskerék Szövetség	Gépezet	Alap	6	6	6	5	[HORIZONT] Hasítás (Sundering). Bármelyik ellenséges Entitás, amelyik sebzést kap tőle, elveszíti a Légies (Ethereal) és Oltalom (Aegis) kulcsszavait.	[HORIZONT] sundering; any enemy entity damaged by this loses ethereal and aegis	horizont	sundering, ethereal, aegis	on_combat_damage_dealt	enemy_entity	ability_lock	instant	trigger_when_an_enemy_entity_takes_damage_from_this	Hasítással rendelkezik, és minden általa megsebzett ellenséges entitás elveszíti a Légies és Oltalom kulcsszavait.	osszetett_egyedi	Több konkrét keyword eltávolítása damage-triggerből.
Mechanikus Wyrm	Entitás	Aether	Fogaskerék Szövetség	Gépezet	Alap	7	7	6	7	[HORIZONT] Ha ez az Entitás halálos sebzést kapna, kifizethetsz 3 Aurát. Ha megteszed, a sebzés nullázódik.	[HORIZONT] if this would take lethal damage, you may pay 3 aura to prevent that damage	horizont	blank	on_combat_damage_taken	self	damage_prevention, resource_gain	instant	requires_paying_3_aura_when_this_would_take_lethal_damage	Ha halálos sebzést kapna, 3 Aura kifizetésével a sebzés megelőzhető.	elso_koros_gepi_ertelmezes	Egyszerű fix költségű halálmegelőzés.
Az Első Alkotás	Entitás	Aether	Fogaskerék Szövetség	Gólem	Hős	8	8	8	8	[HORIZONT] Oltalom (Aegis). [DOMÍNIUM] Riadó (Clarion): A saját Ürességedből (temető) visszahozhatod az összes elpusztult 2-es vagy annál kisebb Magnitúdójú Gépezetedet a pályára, Kimerülten!	[HORIZONT] aegis; [DOMINIUM] clarion: summon all Gepezet entities with magnitude 2 or less from your graveyard to the board exhausted	horizont, dominium, graveyard	aegis, clarion	on_summon	own_graveyard_entity	summon, graveyard_recursion, exhaust	instant	targets_all_destroyed_gepezet_entities_in_your_graveyard_with_magnitude_lte_2	Oltalommal rendelkezik, és Clarionkor az összes 2-es vagy kisebb Magnitúdójú Gépezetedet visszahozhatod az Ürességből Kimerülten a pályára.	osszetett_egyedi	Tömeges graveyard recursion Magnitúdó- és fajszűréssel.
Rendszerfrissítés	Ige	Aether	Fogaskerék Szövetség	-	-	1	1	-	-	Egy saját Entitásod a kör végéig nem veszítheti el a kulcsszavait és nem csökkenhet az ATK-ja ellenséges hatásoktól.	target allied entity cannot lose keywords and its ATK cannot be reduced by enemy effects until end of turn	blank	blank	blank	own_entity	ability_lock, stat_protection	until_turn_end	none	Egy saját entitás a kör végéig nem veszítheti el a kulcsszavait, és az ATK-ja nem csökkenthető ellenséges hatásokkal.	osszetett_egyedi	Kombinált keyword-védelem és ATK-csökkentés elleni immunitás.
Túlvezérelt Védőmező	Ige	Aether	Fogaskerék Szövetség	-	-	3	2	-	-	A Horizonton lévő összes Gépezet és Kiborg Entitásod kap +2 HP-t pajzsként a kör végéig. Reakció (Burst).	horizont allied Gepezet and Kiborg entities gain +2 HP as shield until end of turn	blank	burst	blank	own_horizont_entities	hp_mod	until_turn_end	affects_only_allied_gepezet_and_kiborg_entities_on_horizont	A Horizonton lévő összes saját Gépezet és Kiborg entitás +2 HP-t kap pajzsként a kör végéig.	osszetett_egyedi	Tömeges törzsi combat-pajzs Burst-tel.
Célzó Szoftver	Ige	Aether	Fogaskerék Szövetség	-	-	3	2	-	-	Válassz egy saját Entitást. A támadása ebben a körben nem blokkolható és figyelmen kívül hagyja az Oltalom (Aegis) kulcsszót.	target allied entity's attack is unblockable this turn and ignores aegis	blank	aegis	blank	own_entity	block_restrict, ability_lock	until_turn_end	none	Egy saját entitás támadása ebben a körben nem blokkolható, és figyelmen kívül hagyja az Oltalom kulcsszót.	osszetett_egyedi	Támadásspecifikus unblockable és Aegis-ignore kombináció.
Fémolvasztó Sugár	Ige	Aether	Fogaskerék Szövetség	-	-	4	3	-	-	Okoz 4 sebzést egy szabadon választott ellenséges Entitásnak. Ha az célpont rendelkezik Oltalom (Aegis) kulcsszóval, a sebzés 6-ra nő.	deal 4 damage to target enemy entity; if it has aegis, deal 6 instead	blank	aegis	blank	enemy_entity	damage	instant	if_target_has_aegis_damage_becomes_6	Egy ellenséges entitás 4 sebzést szenved, vagy 6-ot, ha Oltalommal rendelkezik.	osszetett_egyedi	Feltételes sebzésmennyiség keyword alapján.
Tartalék Alkatrész	Ige	Aether	Fogaskerék Szövetség	-	-	1	2	-	-	Hozz létre egy 1/1-es Gépezet / Alap Entitás tokent a Horizont egyik üres Áramlatába. Ez a Token azonnal megkapja az Oltalom (Aegis) kulcsszót az adott kör végéig.	summon a 1/1 Gepezet token to an empty Horizont slot; it gains aegis until end of turn	horizont	aegis	blank	own_horizont_entity	summon_token, grant_keyword	until_turn_end	requires_an_empty_horizont_slot	Egy 1/1-es Gépezet tokent idézel egy üres Horizont mezőre, és az a kör végéig Oltalmat kap.	osszetett_egyedi	Tokenidézés ideiglenes keyword-adással.
Vészhelyzeti Gyorsítás	Ige	Aether	Fogaskerék Szövetség	-	-	3	2	-	-	Egy célpont saját Entitásod azonnal megkapja a Gyorsaság (Celerity) kulcsszót (harc közben is játszható).	target allied entity gains celerity immediately	blank	celerity	blank	own_entity	grant_keyword	until_turn_end	usable_during_combat	Egy saját entitás azonnal megkapja a Gyorsaság kulcsszót.	elso_koros_gepi_ertelmezes	Egyszerű ideiglenes keyword-adás combat-kompatibilis időzítéssel.
Rendszer-Kalibrálás	Ige	Aether	Fogaskerék Szövetség	-	-	3	2	-	-	Válassz egy Entitást: kap +3 HP-t (pajzsként) VAGY +2 ATK-t az adott kör végéig. Reakció (Burst): Ingyen elsüthető.	target entity gets +3 HP as shield or +2 ATK until end of turn	blank	burst	blank	own_entity, enemy_entity	hp_mod, atk_mod, choice	until_turn_end	chosen_mode_1_or_2	Választott entitás vagy +3 HP-t kap pajzsként, vagy +2 ATK-t a kör végéig.	osszetett_egyedi	Választásos Burst buff két külön statopcióval.
Rendszer-Újraindítás	Ige	Aether	Fogaskerék Szövetség	-	-	5	4	-	-	Válassz egy saját, Kimerült (elforgatott) Entitást a Horizonton. A varázslat azonnal visszaállítja őt Aktív állapotba, így ismét blokkolhat.	ready target exhausted allied Horizont entity immediately	horizont	blank	blank	own_horizont_entity	exhaust	instant	target_must_be_an_exhausted_allied_horizont_entity	Egy saját Kimerült Horizont-entitás azonnal visszaáll Aktív állapotba.	elso_koros_gepi_ertelmezes	Egyszerű ready spell célzott Horizont-feltétellel.
Fogaskerék-Olajozás	Rituálé	Aether	Fogaskerék Szövetség	-	-	2	1	-	-	Válassz egy saját Gépezet, Gólem vagy Kiborg Entitást. Adj neki +2 maximális HP-t, és húzz 1 lapot a paklidból.	target allied Gepezet Golem or Kiborg entity gains +2 max HP and you draw 1	deck, hand	blank	blank	own_entity	hp_mod, draw	until_match_end	target_must_be_an_allied_gepezet_golem_or_kiborg_entity	Egy saját Gépezet, Gólem vagy Kiborg entitás +2 max HP-t kap, és húzol 1 lapot.	osszetett_egyedi	Fajszűrt permanens buff és húzás együtt.
Túlterhelés	Rituálé	Aether	Fogaskerék Szövetség	-	-	2	1	-	-	Válassz egy saját Entitást a Horizonton: megkapja a Gyorsaság (Celerity) kulcsszót és +2 ATK-t az adott kör végéig, de a kör végén (az Eloszlás fázisban) a túlhevüléstől automatikusan megsemmisül!	target allied Horizont entity gains celerity and +2 ATK until end of turn, then is destroyed at end of turn	horizont	celerity	blank	own_horizont_entity	grant_keyword, atk_mod, destroy	until_turn_end	none	Egy saját Horizont-entitás Gyorsaságot és +2 ATK-t kap a kör végéig, majd a kör végén megsemmisül.	osszetett_egyedi	Késleltetett önmegsemmisítéssel járó agresszív buff.
Gőznyomásos Kilövés	Rituálé	Aether	Fogaskerék Szövetség	-	-	4	4	-	-	Okoz 4 sebzést egy szabadon választott ellenséges Entitásnak a Horizonton. Ha az a lény ettől elpusztul, a túlcsorduló sebzés a mögötte álló Zenit Entitást (vagy ha nincs, a Pecsétet) éri.	deal 4 damage to target enemy Horizont entity; if it is destroyed, overflow hits the Zenit entity behind it or the seal	horizont, zenit, seal_row	blank	blank	enemy_horizont_entity, enemy_zenit_entity, enemy_seal	damage, overflow_damage, seal_damage	instant	overflow_applies_only_if_target_enemy_horizont_entity_is_destroyed	Egy ellenséges Horizont-entitás 4 sebzést kap, és ha elpusztul, a túlcsorduló sebzés a mögötte álló Zenit-entitást vagy a Pecsétet éri.	osszetett_egyedi	Lane-kötött overflow sebzés többféle másodlagos célpontra.
Szegecsvihar	Rituálé	Aether	Fogaskerék Szövetség	-	-	4	3	-	-	Okoz 2-2 sebzést legfeljebb két különböző ellenséges Entitásnak.	deal 2 damage each to up to two different enemy entities	blank	blank	blank	enemy_entities	damage	instant	target_up_to_two_different_enemy_entities	Legfeljebb két különböző ellenséges entitás 2-2 sebzést szenved el.	elso_koros_gepi_ertelmezes	Egyszerű többcélpontos direkt sebzés.
Gépiesítés	Rituálé	Aether	Fogaskerék Szövetség	-	-	2	2	-	-	"Válassz egy ""Ember"" Főfajú Entitást a Domíniumodon. Az adott Entitás véglegesen Kiborggá válik, és kap +1 ATK-t, valamint +1 maximális HP-t."	target allied Human entity permanently becomes Kiborg and gains +1 ATK and +1 max HP	dominium	blank	blank	own_entity	type_change, atk_mod, hp_mod	until_match_end	target_must_be_an_allied_human_entity_on_dominium	Egy saját Ember entitás véglegesen Kiborggá válik, és +1 ATK-t meg +1 max HP-t kap.	osszetett_egyedi	Típusmódosítás permanens statbuffokkal.
Alkatrész-Gyűjtés	Rituálé	Aether	Fogaskerék Szövetség	-	-	3	3	-	-	Húzz 2 lapot a paklidból. Ha a saját Ürességedben van legalább 3 elpusztult Gépezet, kapsz 2 ideiglenes Aether Aurát is.	draw 2 cards; if your graveyard contains at least 3 destroyed Gepezet, gain 2 temporary Aether aura	deck, hand, graveyard	blank	blank	self	draw, resource_gain	until_turn_end	if_your_graveyard_contains_at_least_3_destroyed_gepezet	Húzol 2 lapot, és ha legalább 3 elpusztult Gépezet van az Ürességedben, kapsz 2 ideiglenes Aether Aurát is.	osszetett_egyedi	Feltételes resource bonus graveyard-count alapján.
Gyártósor Beindítása	Rituálé	Aether	Fogaskerék Szövetség	-	-	5	4	-	-	Idézz meg három 1/1-es Gépezet Tokent a Horizontod üres mezőire. Ezek a Tokenek az adott körben rendelkeznek a Gyorsaság (Celerity) kulcsszóval.	summon three 1/1 Gepezet tokens to empty Horizont slots; they gain celerity this turn	horizont	celerity	blank	own_horizont_entities	summon_token, grant_keyword	until_turn_end	requires_up_to_three_empty_horizont_slots	Három 1/1-es Gépezet tokent idézel a saját Horizont üres mezőire, és azok ebben a körben Gyorsaságot kapnak.	osszetett_egyedi	Tömeges tokenidézés ideiglenes keyworddal.
Teljes Megsemmisítés	Rituálé	Aether	Fogaskerék Szövetség	-	-	6	6	-	-	Pusztíts el minden Entitást a Horizonton. Ezután minden játékos húz 1 lapot minden saját elpusztult Entitása után.	horizont all entities are destroyed; then each player draws 1 for each of their own destroyed entities	horizont, deck, hand	blank	blank	own_horizont_entities, enemy_horizont_entities	destroy, draw	instant	each_player_draws_based_on_the_number_of_their_own_entities_destroyed_by_this_effect	A Horizonton lévő összes entitás megsemmisül, majd minden játékos annyi lapot húz, ahány saját entitása így elpusztult.	osszetett_egyedi	Szimmetrikus board wipe változó utóhúzással.
