Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Orkán Bajnok	Entitás	Ventus	Viharhozók	Ember	Harcos	5	3	4	4	[HORIZONT] Hasítás (Sundering). Ez az Entitás nem kimerül (nem kell elforgatni) az első támadása során az adott körben.	[HORIZONT] sundering; this does not exhaust during its first attack each turn	horizont	sundering	on_attack_declared	self	ready	static_while_on_board	does_not_exhaust_on_its_first_attack_each_turn	Hasításos entitás, amely az első támadásakor nem merül ki az adott körben.	osszetett_egyedi	Attack-resolution közbeni exhaust-kivétel első támadásra.
Hurrikán-Táncos	Entitás	Ventus	Viharhozók	Ember	Harcos	5	4	4	5	[HORIZONT] Hasítás (Sundering). Ha sikeresen elpusztít egy ellenséges Entitást a harc során, a szélvihar felkap egy véletlenszerű ellenséges Entitást a Horizonton, és azonnal visszarepíti azt a tulajdonosa kezébe.	[HORIZONT] sundering; when this destroys an enemy entity in combat, return a random enemy Horizont entity to its owner's hand	horizont, hand	sundering	on_attack_hits	enemy_horizont_entity	return_to_hand	instant	trigger_when_this_destroys_an_enemy_entity_in_combat_then_choose_random_enemy_horizont_entity	Hasításos entitás, amely harci ölés után egy véletlenszerű ellenséges Horizont-entitást visszaküld kézbe.	osszetett_egyedi	Harci kill-triggerből induló random bounce.
Zephyros a Vihar Ura	Entitás	Ventus	Viharhozók	Sárkány	Hős	7	6	6	6	[HORIZONT] Gyorsaság (Celerity). [DOMÍNIUM] Riadó (Clarion): Amikor megidézed, a saját Horizontodon lévő összes többi saját, Kimerült Entitásod azonnal visszaáll Aktív állapotba!	[HORIZONT] celerity; [DOMINIUM] clarion: ready all other exhausted allied Horizont entities	horizont, dominium	celerity, clarion	on_summon	own_horizont_entities	ready	instant	affects_all_other_exhausted_allied_horizont_entities	Gyorsaságos hős, amely Clarionkor az összes többi Kimerült saját Horizont-entitást Aktívvá teszi.	osszetett_egyedi	Tömeges ready Clarion zónaszűréssel.
Fujin az Égi Vihar Sárkánya	Entitás	Ventus	Viharhozók	Sárkány	Alap	8	6	7	6	[HORIZONT] Gyorsaság (Celerity). Ha ez az Entitás feltöri az ellenfél egyik Pecsétjét, az áradó viharmágia az összes saját Ventus Entitásodat a Horizonton azonnal visszaállítja Aktív állapotba!	[HORIZONT] celerity; when this breaks an enemy seal, ready all allied Ventus entities on Horizont	horizont, seal_row	celerity	on_seal_break	own_horizont_entities	ready	instant	affects_all_allied_ventus_entities_on_horizont	Gyorsaságos sárkány, amely pecséttöréskor az összes saját Ventus Horizont-entitást Aktívvá teszi.	osszetett_egyedi	Seal-break triggeres törzsi tömeges ready.
Viharfutó Újonc	Entitás	Ventus	Viharhozók	Ember	Kósza	1	1	1	2	[DOMÍNIUM] Riadó (Clarion): Kap +1 ATK-t, ha már játszottál ki Igét ebben a körben.	[DOMINIUM] clarion: this gains +1 ATK if you already played a spell this turn	dominium	clarion	on_summon	self	atk_mod	until_turn_end	trigger_only_if_you_played_a_spell_this_turn	Clarionkor +1 ATK-t kap, ha ebben a körben már játszottál ki Igét.	elso_koros_gepi_ertelmezes	Egyszerű feltételes Clarion önbuff.
Szélszelídítő Felfedező	Entitás	Ventus	Viharhozók	Ember	Tolvaj	1	1	2	1	[HORIZONT] Gyorsaság (Celerity).	[HORIZONT] celerity	horizont	celerity	static	self	blank	static_while_on_board	none	A Horizonton Gyorsaság kulcsszóval rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Villámvágta Huszár	Entitás	Ventus	Viharhozók	Ember	Lovag	2	2	2	3	[HORIZONT] Ha a kör során Kimerült állapotból újra Aktív állapotba kerül, a következő támadása áttöri az Oltalom (Aegis) kulcsszót.	[HORIZONT] if this becomes ready from exhausted this turn, its next attack ignores aegis	horizont	blank	on_ready_from_exhausted	self	attack_restrict	until_turn_end	trigger_when_this_becomes_ready_from_exhausted_and_apply_to_next_attack	Ha ebben a körben Kimerültből újra Aktív lesz, a következő támadása figyelmen kívül hagyja az Oltalmat.	osszetett_egyedi	Következő támadásra tárolt támadási kivétel ready-triggerből.
Szelek Suttogója	Entitás	Ventus	Viharhozók	Ember	Pap	2	2	1	3	[ZENIT] Harmonizálás (Harmonize). Minden alkalommal, amikor egy saját Entitásod a Horizonton újra Aktív lesz, a Suttogó ad neki +1 maximális HP-t.	[ZENIT] harmonize; whenever an allied Horizont entity becomes ready, it gains +1 max HP	zenit, horizont	harmonize	on_ready_from_exhausted	own_horizont_entity	hp_mod	until_match_end	trigger_when_allied_horizont_entity_becomes_ready	Harmonizálást ad, és amikor egy saját Horizont-entitás újra Aktív lesz, +1 max HP-t ad neki.	osszetett_egyedi	Ready-triggeres permanens HP-buff.
Széllökések Mestere	Entitás	Ventus	Viharhozók	Ember	Mágus	3	3	2	3	[ZENIT] Rezonancia 2. Amíg a Zenitben van, minden Ventus Igéd 1 Aurával kevesebbe kerül (minimum 0).	[ZENIT] resonance 2; while in Zenit, your Ventus spells cost 1 less, minimum 0	zenit	resonance	static	self	cost_mod	static_while_on_board	affects_own_ventus_spells_minimum_cost_0	Rezonancia 2-t ad, és amíg a Zenitben van, minden saját Ventus Igéd 1 Aurával olcsóbb.	osszetett_egyedi	Folyamatos törzsspecifikus spell-költségcsökkentés.
Förgeteg-Hozó Sámán	Entitás	Ventus	Viharhozók	Ember	Sámán	3	3	3	3	[DOMÍNIUM] Riadó (Clarion): Választhatsz egy ellenséges Entitást a Horizonton; a következő körében nem vonulhat vissza a Zenitbe.	[DOMINIUM] clarion: target enemy Horizont entity cannot retreat to Zenit during its next turn	dominium, horizont, zenit	clarion	on_summon	enemy_horizont_entity	position_lock	until_next_enemy_turn	target_enemy_horizont_entity_cannot_move_to_zenit_next_turn	Clarionkor egy ellenséges Horizont-entitás a következő körében nem vonulhat vissza a Zenitbe.	osszetett_egyedi	Késleltetett mozgáskorlátozás egy konkrét zónairányra.
Viharmadár Idéző	Entitás	Ventus	Viharhozók	Ember	Druida	3	3	2	4	[ZENIT] Minden saját köröd végén, ha van legalább egy Aktív Ventus Entitásod a Horizonton, kapsz 1 ideiglenes Ventus Aurát.	[ZENIT] at the end of each of your turns, if you control an active Ventus Horizont entity, gain 1 temporary Ventus aura	zenit, horizont, source	blank	on_turn_end	self	resource_gain	until_turn_end	requires_at_least_one_active_allied_ventus_entity_on_horizont	Minden saját köröd végén 1 ideiglenes Ventus Aurát kapsz, ha van legalább egy Aktív Ventus Horizont-entitásod.	osszetett_egyedi	Körvégi feltételes erőforrásnyerés aktív board-jelenlét alapján.
Villámszarvú Rénszarvas	Entitás	Ventus	Viharhozók	Bestia	Alap	4	4	4	4	[HORIZONT] Hasítás (Sundering). Amikor Kimerül (elforgatod), okoz 1 sebzést az összes vele szemben álló ellenséges Entitásnak.	[HORIZONT] sundering; when this becomes exhausted, deal 1 damage to all opposing enemy entities	horizont	sundering	on_attack_declared	opposing_entity	damage	instant	trigger_when_this_becomes_exhausted	Hasításos entitás, amely Kimerüléskor 1 sebzést okoz a vele szemben álló ellenséges entitásoknak.	osszetett_egyedi	Exhaust-triggeres többes vonali sebzés.
Levegő-Elementál	Entitás	Ventus	Viharhozók	Elementál	Alap	4	4	3	5	[HORIZONT] Légies (Ethereal).	[HORIZONT] ethereal	horizont	ethereal	static	self	blank	static_while_on_board	none	A Horizonton Légies kulcsszóval rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Ciklon Pörölyös	Entitás	Ventus	Viharhozók	Ember	Harcos	5	5	5	4	[HORIZONT] Ha ez az Entitás sikeresen áttör egy Pecsétet, a visszacsapó Áradat (Surge) hatás érvénytelenítődik.	[HORIZONT] when this breaks a seal, surge does not trigger	horizont, seal_row	blank	on_seal_break	self	ability_lock	instant	prevents_surge_trigger_on_successful_seal_break_by_this_entity	Ha ez az entitás pecsétet tör, az Áradat hatás nem aktiválódik.	osszetett_egyedi	Alapszabályt módosító Surge-negáló kivétel.
Vihar-Pajzsos Őrző	Entitás	Ventus	Viharhozók	Ember	Lovag	5	5	3	6	[HORIZONT] Oltalom (Aegis). Nem lehet elforgatni (Kimeríteni) az ellenfél varázslatai által.	[HORIZONT] aegis; enemy spells cannot exhaust this	horizont	aegis	static	self	stat_protection	static_while_on_board	cannot_be_exhausted_by_enemy_spells	Oltalommal rendelkező entitás, amelyet az ellenfél varázslatai nem kimeríthetnek.	elso_koros_gepi_ertelmezes	Egyszerű statikus kimerítésimmunitás.
Égi Szikra	Entitás	Ventus	Viharhozók	Elementál	Alap	6	6	5	5	[DOMÍNIUM] Riadó (Clarion): Húzz 1 lapot minden egyes Aktív állapotú saját Entitásod után a Horizonton.	[DOMINIUM] clarion: draw 1 for each active allied Horizont entity	dominium, horizont, deck	clarion	on_summon	own_horizont_entities	draw	instant	count_active_allied_horizont_entities	Clarionkor 1 lapot húzol minden Aktív saját Horizont-entitásod után.	osszetett_egyedi	Board-state számolásból képzett változó húzás.
Villámcsapás-Mágus	Entitás	Ventus	Viharhozók	Ember	Mágus	6	6	4	5	[ZENIT] Rezonancia 1. A saját körödben a Manifesztáció fázisban kimerítheted ezt az Entitást, hogy 3 sebzést okozz bármelyik célpontnak.	[ZENIT] resonance 1; during your manifestation phase, you may exhaust this to deal 3 damage to any target	zenit	resonance	on_influx_phase	self, enemy_entity, enemy_seal, enemy_aeternal, own_entity, own_seal, own_aeternal	damage, exhaust	instant	usable_during_your_manifestation_phase_by_exhausting_this_entity	Rezonancia 1-et ad, és a saját Manifesztáció fázisban kimerítheted, hogy 3 sebzést okozz bármely célpontnak.	osszetett_egyedi	Beépített activated ability saját kimerítési költséggel.
Szélvész Orgyilkos	Entitás	Ventus	Viharhozók	Ember	Orgyilkos	7	7	6	5	[HORIZONT] Métely (Bane). Gyorsaság (Celerity). Ha harcban elpusztít egy Entitást, azonnal visszaáll Aktív állapotba.	[HORIZONT] bane; celerity; when this destroys an entity in combat, ready this	horizont	bane, celerity	on_attack_hits	self	ready	instant	trigger_when_this_destroys_an_entity_in_combat	Mételyes és Gyorsaságos entitás, amely harci ölés után azonnal újra Aktív lesz.	osszetett_egyedi	Harci kill-triggeres self-ready kettős keyword mellett.
Tornádó Kígyó	Entitás	Ventus	Viharhozók	Sárkány	Alap	8	8	7	8	[HORIZONT] Hasítás (Sundering). Megidézésekor minden 2-es vagy annál kisebb Magnitúdójú ellenséges Entitás azonnal Kimerül.	[HORIZONT] sundering; on summon, all enemy entities with magnitude 2 or less become exhausted	horizont	sundering	on_summon	enemy_entities	exhaust	instant	affects_all_enemy_entities_with_magnitude_lte_2	Hasításos sárkány, amely megidézésekor minden 2-es vagy kisebb Magnitúdójú ellenséges entitást kimerít.	osszetett_egyedi	Tömeges Magnitúdó-szűrt kimerítés.
Villámcsapás	Ige	Ventus	Viharhozók	-	-	2	2	-	-	Okoz 3 sebzést egy szabadon választott ellenséges Entitásnak. Ha ettől a célpont elpusztul, egy saját Kimerült Entitásod azonnal visszaáll Aktív állapotba.	deal 3 damage to target enemy entity; if it is destroyed, ready target exhausted allied entity	blank	blank	blank	enemy_entity, own_entity	damage, ready	instant	if_target_enemy_entity_is_destroyed_by_this_effect_then_target_must_be_exhausted_allied_entity	3 sebzést okozol egy ellenséges entitásnak, és ha az ettől elpusztul, egy saját Kimerült entitásod azonnal Aktívvá válik.	osszetett_egyedi	Feltételes kill-triggeres ready második célponttal.
Szelek Szárnyán	Ige	Ventus	Viharhozók	-	-	3	2	-	-	Húzz annyi lapot, ahány Gyorsaság (Celerity) kulcsszóval rendelkező Entitásod van a pályán (maximum 3-at).	draw cards equal to the number of allied entities with celerity on board, up to 3	dominium, deck	celerity	blank	own_entities	draw	instant	count_allied_entities_with_celerity_on_board_max_3	Annyi lapot húzol, ahány saját Gyorsaság kulcsszavú entitásod van a pályán, legfeljebb 3-at.	elso_koros_gepi_ertelmezes	Keyword-számolásból képzett változó húzás.
Ciklon Pajzs	Ige	Ventus	Viharhozók	-	-	4	2	-	-	Válassz egy saját Entitást a Horizonton. Megkapja az Oltalom (Aegis) kulcsszót és +2 maximális HP-t az adott kör végéig.	target allied Horizont entity gains aegis and +2 max HP until end of turn	horizont	aegis	blank	own_horizont_entity	grant_keyword, hp_mod	until_turn_end	none	Egy saját Horizont-entitás megkapja az Oltalom kulcsszót és +2 max HP-t a kör végéig.	elso_koros_gepi_ertelmezes	Egyszerű célzott ideiglenes keyword- és HP-buff.
Kettős Széllökés	Ige	Ventus	Viharhozók	-	-	5	3	-	-	Válassz ki két ellenséges Entitást a Horizonton, amelyek Magnitúdója egyenként legfeljebb 3. Mindkettő visszakerül az ellenfél kezébe.	choose two enemy Horizont entities with magnitude 3 or less; return both to their owner's hand	horizont, hand	blank	blank	enemy_horizont_entities	return_to_hand	instant	target_exactly_two_enemy_horizont_entities_with_magnitude_lte_3	Két darab legfeljebb 3-as Magnitúdójú ellenséges Horizont-entitás visszakerül az ellenfél kezébe.	osszetett_egyedi	Többcélpontos bounce Magnitúdó-szűréssel.
Viharos Düh	Ige	Ventus	Viharhozók	-	-	6	4	-	-	Az összes saját Aktív állapotú Entitásod a Horizonton kap +2 ATK-t és a Hasítás (Sundering) kulcsszót az adott kör végéig.	all active allied Horizont entities gain +2 ATK and sundering until end of turn	horizont	sundering	blank	own_horizont_entities	atk_mod, grant_keyword	until_turn_end	target_only_active_allied_horizont_entities	Az összes Aktív saját Horizont-entitás +2 ATK-t és Hasítás kulcsszót kap a kör végéig.	osszetett_egyedi	Tömeges buff állapotszűréssel.
Frissítő Szellő	Ige	Ventus	Viharhozók	-	-	2	1	-	-	Válassz egy saját Kimerült Entitást. Állítsd vissza Aktív állapotba, és kapjon +1 ATK-t az adott kör végéig. Reakció (Burst): Ingyen elsüthető.	ready target exhausted allied entity; it gains +1 ATK until end of turn	horizont, zenit	burst	blank	own_entity	ready, atk_mod	until_turn_end	target_must_be_exhausted_allied_entity	Egy saját Kimerült entitást Aktívvá teszel, és +1 ATK-t kap a kör végéig.	osszetett_egyedi	Ready és ideiglenes buff Burst-tel.
Széllökés	Ige	Ventus	Viharhozók	-	-	3	2	-	-	Válassz egy ellenséges Entitást, melynek a Magnitúdója 3 vagy annál kisebb. A szélvihar azonnal visszarepíti azt az ellenfél kezébe (lekerül a pályáról).	return target enemy entity with magnitude 3 or less to its owner's hand	hand	blank	blank	enemy_entity	return_to_hand	instant	target_enemy_entity_with_magnitude_lte_3	Egy 3-as vagy kisebb Magnitúdójú ellenséges entitás azonnal visszakerül az ellenfél kezébe.	elso_koros_gepi_ertelmezes	Egyszerű célzott bounce Magnitúdó-szűréssel.
Tornádó Csapás	Ige	Ventus	Viharhozók	-	-	4	3	-	-	Válassz egy ellenséges Entitást a Horizonton. Ha van mögötte (a Zenitben) másik Entitás az adott Áramlatban, mindkettő visszakerül az ellenfél kezébe. Ha nincs, csak a kiválasztott célpont kerül vissza.	return target enemy Horizont entity to hand; if it has an entity behind it in Zenit, return that one too	horizont, zenit, hand	blank	blank	enemy_horizont_entity, enemy_zenit_entity	return_to_hand	instant	if_target_enemy_horizont_entity_has_enemy_zenit_entity_behind_it_return_both	Kiválasztasz egy ellenséges Horizont-entitást; az visszakerül kézbe, és ha van mögötte Zenit-entitás, az is.	osszetett_egyedi	Lane-kapcsolt feltételes kettős bounce.
Visszavonulás a Felhőkbe	Rituálé	Ventus	Viharhozók	-	-	3	2	-	-	Vegyél vissza a kezedbe legfeljebb 2 saját Entitást a pályáról. Minden így visszavett Entitás után húzz 1 lapot a paklidból.	return up to 2 allied entities from board to hand; draw 1 for each returned	hand, deck, dominium	blank	blank	own_entities	return_to_hand, draw	instant	return_up_to_2_allied_entities_from_board_and_draw_equal_to_number_returned	Legfeljebb 2 saját entitást visszavehetsz a kezedbe a pályáról, és mindegyik után húzol 1 lapot.	osszetett_egyedi	Változó számú saját bounce és arányos húzás.
A Vihar Szeme	Rituálé	Ventus	Viharhozók	-	-	3	3	-	-	A saját Horizontodon lévő összes Kimerült Entitásod azonnal visszaáll Aktív állapotba, de ebben a körben már nem kaphatnak ATK bónuszt.	ready all exhausted allied Horizont entities; they cannot receive ATK bonuses this turn	horizont	blank	blank	own_horizont_entities	ready, stat_protection	until_turn_end	target_only_exhausted_allied_horizont_entities_and_they_cannot_receive_atk_bonuses_this_turn	A saját Kimerült Horizont-entitásaid Aktívvá válnak, de ebben a körben nem kaphatnak ATK-bónuszt.	osszetett_egyedi	Tömeges ready ideiglenes buff-tiltással.
Szelek Tánca	Rituálé	Ventus	Viharhozók	-	-	4	3	-	-	Húzz 1 lapot minden olyan saját Entitásod után, amely ebben a körben képesség vagy varázslat hatására újra Aktív állapotba került.	draw 1 for each allied entity that became ready this turn due to a spell or ability	dominium, deck	blank	blank	own_entities	draw	instant	count_allied_entities_that_became_ready_this_turn_due_to_spell_or_ability	1 lapot húzol minden olyan saját entitás után, amely ebben a körben varázslat vagy képesség miatt újra Aktív lett.	osszetett_egyedi	Turn-tracking alapú ready-count húzás.
Villám Háló	Rituálé	Ventus	Viharhozók	-	-	5	4	-	-	Az ellenfél minden 4-es vagy annál kisebb Magnitúdójú Entitása azonnal Kimerült állapotba kerül, és a következő körében nem állhat vissza.	d exhaust all enemy entities with magnitude 4 or less; they do not ready during their next turn	dominium	blank	blank	enemy_entities	exhaust, position_lock	until_next_enemy_turn	target_enemy_entities_with_magnitude_lte_4	Az ellenfél minden 4-es vagy kisebb Magnitúdójú entitása Kimerül, és a következő körében nem áll vissza Aktív állapotba.	osszetett_egyedi	Tömeges Magnitúdó-szűrt exhaust és következő körös ready-tiltás.
Förgeteg Ébredése	Rituálé	Ventus	Viharhozók	-	-	6	5	-	-	"Idézz meg három 1/1-es ""Viharszikra"" (Elementál) Tokent Gyorsaság (Celerity) kulcsszóval a Domíniumod szabad mezőire."	summon three 1/1 Viharszikra Elemental tokens with celerity to empty slots on your board	dominium	celerity	blank	own_entities	summon_token	instant	requires_three_empty_slots_or_summon_to_as_many_empty_slots_as_possible	Három darab 1/1-es Gyorsaságos Viharszikra tokent idézel a Domíniumod szabad mezőire.	osszetett_egyedi	Tokenidézés beépített keyworddel és slotkezeléssel.
Égi Visszhang	Rituálé	Ventus	Viharhozók	-	-	7	6	-	-	A következő Entitásod, amelyet ebben a körben megidézel, kétszer aktiválja a Riadó (Clarion) képességét.	the next entity you summon this turn triggers its clarion ability twice	dominium	clarion	blank	own_entity	ability_lock	until_turn_end	affects_the_next_allied_entity_summoned_this_turn_with_clarion	A következő ebben a körben megidézett entitásod kétszer aktiválja a Clarion képességét.	osszetett_egyedi	Következő summonra tárolt trigger-duplikálás.
Folyamatos Ostrom	Rituálé	Ventus	Viharhozók	-	-	4	4	-	-	Ebben a körben minden alkalommal, amikor egy Rituálé vagy képesség hatására egy saját Entitásod Kimerült állapotból visszaáll Aktívba, az az Entitás kap +2 ATK-t az adott kör végéig. (Ez a hatás nem kerülheti meg a globális Visszaállítási Limitet!)	this turn, whenever your entity becomes ready from exhausted due to a ritual or ability, it gains +2 ATK until end of turn	dominium	blank	on_ready_from_exhausted	own_entity	atk_mod	until_turn_end	trigger_only_if_readying_is_caused_by_ritual_or_ability_and_cannot_bypass_global_ready_limit	Ebben a körben minden olyan saját entitásod +2 ATK-t kap, amely Rituálé vagy képesség hatására Kimerültből Aktívvá válik.	osszetett_egyedi	Körre szóló globális ready-trigger buff szabálylimittel.
Villámgyors Hadmozdulat	Rituálé	Ventus	Viharhozók	-	-	5	4	-	-	Engedélyezi, hogy a normál Betörés fázisod befejezése után egy teljesen új, második Betörés fázist indíts azokkal az Entitásaidakkal, amelyeket a kör során sikerült újra Aktív állapotba hoznod!	after your normal breakthrough phase, you may start a second breakthrough phase with entities that were readied during this turn	dominium	blank	blank	own_entities	attack_restrict	until_turn_end	only_entities_that_were_readied_during_this_turn_may_participate_in_the_second_breakthrough_phase	A normál Betörés fázis után egy második Betörés fázist indíthatsz azokkal az entitásokkal, amelyeket ebben a körben újra Aktívvá tettél.	osszetett_egyedi	Fázisszintű extra combat létrehozása részhalmaz-célponttal.
