Kártya név	Típus	Birodalom	Klán	Faj	Kaszt	Magnitudó	Aura	ATK	HP	Képesség	Képesség_Canonical	Zóna_Felismerve	Kulcsszavak_Felismerve	Trigger_Felismerve	Célpont_Felismerve	Hatáscímkék	Időtartam_Felismerve	Feltétel_Felismerve	Gépi_Leírás	Értelmezési_Státusz	Engine_Megjegyzés
Mohagólem-Kölyök	Entitás	Terra	Ős-Druidák	Elemi Lény	Alap	1	2	1	3	[HORIZONT] Oltalom (Aegis).	[HORIZONT] aegis	horizont	aegis	static	self	blank	static_while_on_board	none	A Horizonton Oltalommal rendelkező egyszerű védő entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Gyógyító Virág	Entitás	Terra	Ős-Druidák	Növény	Pap	2	2	0	4	[ZENIT] A Manifesztáció fázisodban (körönként egyszer) tölts vissza 1 HP-t egy szabadon választott saját Entitásodnak.	[ZENIT] during your manifestation phase once per turn, heal 1 HP to target allied entity	zenit	blank	on_influx_phase	own_entity	heal	instant	usable_once_per_turn_during_your_manifestation_phase	Minden saját Manifesztáció fázisban egyszer 1 HP-t gyógyíthatsz egy saját entitáson.	elso_koros_gepi_ertelmezes	Egyszerű fázis-alapú célzott heal.
Fojtóinda	Entitás	Terra	Ős-Druidák	Növény	Alap	2	2	2	2	[DOMÍNIUM] Amíg Aktív a Horizonton, a vele szemben lévő ellenséges Entitás elveszít -1 ATK-t.	[DOMINIUM] while active on Horizont, the opposing enemy entity gets -1 ATK	dominium, horizont	blank	static	opposing_entity	atk_mod	static_while_on_board	applies_only_while_this_is_active_on_horizont	Amíg aktív a Horizonton, a vele szemben lévő ellenséges entitás -1 ATK-t kap.	osszetett_egyedi	Lane-kötött folyamatos ellenfél-debuff.
Páncélos Szarvas	Entitás	Terra	Ős-Druidák	Bestia	Lovag	3	3	2	5	"[HORIZONT] Oltalom (Aegis). [DOMÍNIUM] Ha egy ""Druida"" kasztú Entitásod támogatja a Zenitből, kap +1 ATK-t a harcokra."	[HORIZONT] aegis; if supported from Zenit by a Druid, gains +1 ATK during combats	horizont, zenit	aegis	static	self	atk_mod	during_combat	requires_support_from_a_druid_entity_in_zenit	Oltalommal rendelkezik, és ha Zenitből Druida támogatja, a harcokra +1 ATK-t kap.	osszetett_egyedi	Támogatás-függő combat buff kasztszűréssel.
Az Ősforrás Őrzője	Entitás	Terra	Ős-Druidák	Ember	Pap	3	3	1	4	[ZENIT] Rezonancia 2. Amíg itt tartózkodik, az ellenfél nem távolíthat el kártyákat a te Ősforrásodból.	[ZENIT] resonance 2; opponent cannot remove cards from your source	zenit, source	resonance	static	own_source_card	stat_protection	static_while_on_board	none	A Zenitből megakadályozza, hogy az ellenfél lapokat távolítson el az Ősforrásodból.	osszetett_egyedi	Rezonancia mellett különleges forrásvédelmi szabály.
Húsevő Növény	Entitás	Terra	Ős-Druidák	Növény	Alap	4	3	3	4	[HORIZONT] Métely (Bane).	[HORIZONT] bane	horizont	bane	static	self	blank	static_while_on_board	none	A Horizonton Métellyel rendelkező egyszerű entitás.	passziv_vagy_egyszeru	Tiszta natív keywordös lap.
Földsárkány Fióka	Entitás	Terra	Ős-Druidák	Sárkány	Alap	4	4	3	5	[HORIZONT] A saját köröd végén véglegesen kap +1 maximális HP-t (növekszik).	[HORIZONT] at end of your turn this permanently gains +1 max HP	horizont	blank	on_turn_end	self	hp_mod	until_match_end	none	Minden saját köröd végén véglegesen +1 max HP-t kap.	elso_koros_gepi_ertelmezes	Egyszerű körvégi permanens növekedés.
Természet-Alakító	Entitás	Terra	Ős-Druidák	Ember	Druida	5	4	2	5	[ZENIT] Harmonizálás (Harmonize). Valahányszor a te körödben egy saját Növény vagy Bestia Entitásod HP-ja növekszik, az kap +1 ATK-t is a kör végéig.	[ZENIT] harmonize; whenever a Plant or Beast you control gains HP during your turn, it gains +1 ATK until end of turn	zenit	harmonize	on_heal	own_entity	atk_mod	until_turn_end	trigger_only_during_your_turn_and_only_for_allied_plant_or_beast_entity	Ha a te körödben egy saját Növény vagy Bestia entitás HP-t nyer, +1 ATK-t kap a kör végéig.	osszetett_egyedi	Heal-triggeres fajszűrt ideiglenes buff.
Föld-Elementál	Entitás	Terra	Ős-Druidák	Elemi Lény	Alap	5	5	4	6	[HORIZONT] Oltalom (Aegis). Ezt az Entitást az ellenfél varázslatai nem mozdíthatják el a helyéről.	[HORIZONT] aegis; enemy spells cannot move this entity	horizont	aegis	static	self	position_lock	static_while_on_board	cannot_be_moved_by_enemy_spells	Oltalommal rendelkezik, és az ellenfél varázslatai nem mozdíthatják el a helyéről.	elso_koros_gepi_ertelmezes	Statikus mozdításimmunitás natív keyword mellett.
Ébredő Treant	Entitás	Terra	Ős-Druidák	Növény	Parancsnok	6	5	4	7	"[ZENIT] Amíg itt van, az összes saját ""Növény"" Főfajú Entitásod a Horizonton megkapja az Oltalom (Aegis) kulcsszót."	[ZENIT] while this is in Zenit, your Plant entities on Horizont gain aegis	zenit, horizont	blank	static	own_horizont_entities	grant_keyword	static_while_on_board	affects_allied_plant_entities_on_horizont	Amíg a Zenitben van, minden saját Növény Horizont-entitásod megkapja az Oltalom kulcsszót.	osszetett_egyedi	Folyamatos, fajszűrt keyword-adás.
Smaragdhátú Teknős	Entitás	Terra	Ős-Druidák	Bestia	Alap	6	6	2	9	[HORIZONT] Oltalom (Aegis). Minden fizikai támadás, ami ezt az Entitást éri, 1-gyel kevesebb sebzést okoz (minimum 1-et).	[HORIZONT] aegis; physical attacks against this deal 1 less damage, minimum 1	horizont	aegis	on_combat_damage_taken	self	damage_prevention	static_while_on_board	reduces_physical_attack_damage_by_1_minimum_1	Oltalommal rendelkezik, és minden fizikai támadás 1-gyel kevesebb sebzést okoz neki.	osszetett_egyedi	Statikus fizikai sebzéscsökkentés külön minimumszabállyal.
A Hegy Szelleme	Entitás	Terra	Ős-Druidák	Elemi Lény	Hős	7	6	5	8	[DOMÍNIUM] Riadó (Clarion): Amikor megidézed, okozz 1 sebzést minden ellenséges Entitásnak a Horizonton.	[DOMINIUM] clarion: deal 1 damage to all enemy Horizont entities	dominium, horizont	clarion	on_summon	enemy_horizont_entities	damage	instant	none	Megidézéskor 1 sebzést okoz minden ellenséges Horizont-entitásnak.	elso_koros_gepi_ertelmezes	Egyszerű Clarion tömeges sebzés.
Smaragd Pikkelyes Őr	Entitás	Terra	Ős-Druidák	Sárkány	Lovag	7	7	6	7	[HORIZONT] Hasítás (Sundering). Amíg ez az Entitás Aktív, az ellenfél nem célozhatja Rituálékkal és Igékkel a Zenitben lévő Entitásaidat.	[HORIZONT] sundering; while this is active, opponent cannot target your Zenit entities with spells	horizont, zenit	sundering	static	own_zenit_entities	untargetable	static_while_on_board	applies_only_while_this_is_active_on_horizont	Hasítással rendelkezik, és amíg aktív, az ellenfél nem célozhatja a Zenitben lévő entitásaidat Rituálékkal és Igékkel.	osszetett_egyedi	Folyamatos zónavédelem egy aktív Horizont-entitáshoz kötve.
Sziklapajzs	Ige	Terra	Ős-Druidák	-	-	2	1	-	-	Egy célpont saját Entitásod megkapja az Oltalom (Aegis) kulcsszót és +2 maximális HP-t a kör végéig. Reakció (Burst).	target allied entity gains aegis and +2 max HP until end of turn	blank	aegis, burst	blank	own_entity	grant_keyword, hp_mod	until_turn_end	none	Egy saját entitás megkapja az Oltalom kulcsszót és +2 maximális HP-t a kör végéig.	elso_koros_gepi_ertelmezes	Egyszerű célzott ideiglenes keyword- és HP-buff Burst-tel.
Tisztító Zápor	Ige	Terra	Ős-Druidák	-	-	3	2	-	-	Távolíts el minden negatív hatást és levonást az összes saját Entitásodról a Domíniumon.	remove all negative effects and penalties from all allied entities on board	dominium	blank	blank	own_entities	cleanse	instant	none	Az összes saját entitásodról eltávolít minden negatív hatást és levonást.	osszetett_egyedi	Tömeges cleanse-hatás.
Hirtelen Növekedés	Ige	Terra	Ős-Druidák	-	-	4	2	-	-	Válassz egy saját Entitást. A kör végéig azonnal kap +3 ATK-t és +3 HP-t.	target allied entity gains +3 ATK and +3 HP until end of turn	blank	blank	blank	own_entity	atk_mod, hp_mod	until_turn_end	none	Egy saját entitás +3 ATK-t és +3 HP-t kap a kör végéig.	elso_koros_gepi_ertelmezes	Egyszerű célzott ideiglenes statbuff.
Kővé Válás	Ige	Terra	Ős-Druidák	-	-	5	3	-	-	Válassz egy ellenséges Entitást a Horizonton. A következő Ébredés fázisban nem állhat fel (Kimerült marad), és nem válthat pozíciót.	target enemy Horizont entity stays exhausted through next awakening and cannot change position	horizont	blank	blank	enemy_horizont_entity	exhaust, position_lock	next_own_awakening	none	A kijelölt ellenséges Horizont-entitás a következő Ébredés fázisban sem áll fel, és nem válthat pozíciót.	osszetett_egyedi	Felállásgátlás és mozgáskorlátozás ugyanarra a célpontra.
Ősi Erő	Ige	Terra	Ős-Druidák	-	-	2	1	-	-	Egy saját Entitásod kap +2 ATK-t és +2 HP-t az adott kör végéig.	target allied entity gains +2 ATK and +2 HP until end of turn	blank	blank	blank	own_entity	atk_mod, hp_mod	until_turn_end	none	Egy saját entitás +2 ATK-t és +2 HP-t kap a kör végéig.	elso_koros_gepi_ertelmezes	Egyszerű célzott ideiglenes statbuff.
Vadon Növekedése	Ige	Terra	Ős-Druidák	-	-	3	1	-	-	Egy saját Entitásod kap +3 HP-t az adott kör végéig. Ha a jelenlegi Magnitúdód 5 vagy nagyobb az Entitás +3 ATK-t is kap!	target allied entity gains +3 HP until end of turn; if your current magnitude is 5 or more, it also gains +3 ATK	blank	blank	blank	own_entity	hp_mod, atk_mod	until_turn_end	if_your_current_magnitude_is_5_or_more	Egy saját entitás +3 HP-t kap a kör végéig, és ha a jelenlegi Magnitúdód legalább 5, akkor +3 ATK-t is kap.	osszetett_egyedi	Feltételes kiegészítő statbuff aktuális Magnitúdó alapján.
Földanyánk Ölelése	Ige	Terra	Ős-Druidák	-	-	5	0	-	-	Válassz egy saját Entitást. A harc idejére kap +4 HP-t (pajzs) te pedig kapsz 2 ideiglenes Terra Aurát erre a körre. Reakció (Burst): Ingyen elsül.	target allied entity gains +4 HP during combat; you gain 2 temporary Terra aura this turn	blank	burst	blank	own_entity	hp_mod, resource_gain	during_combat	none	Egy saját entitás +4 HP-t kap a harc idejére, te pedig 2 ideiglenes Terra Aurát kapsz erre a körre.	osszetett_egyedi	Combat HP-bónusz és ideiglenes erőforrás együttesen Burst-tel.
Szeizmikus Lökés	Ige	Terra	Ős-Druidák	-	-	6	3	-	-	Válassz egy ellenséges Áramlatot. Az ott tartózkodó Horizont és Zenit Entitás helyet cserél egymással és mindkettő Kimerült állapotba kerül.	choose an enemy lane; the Horizont and Zenit entities there swap places and both become exhausted	horizont, zenit	blank	blank	lane	move_horizont, move_zenit, exhaust	instant	target_enemy_lane_with_horizont_and_zenit_entities	Válassz egy ellenséges Áramlatot; az ott lévő Horizont- és Zenit-entitás helyet cserél, és mindkettő kimerül.	osszetett_egyedi	Lane-célzású kettős swap és állapotmódosítás.
Visszatérés az Ősforrásból	Rituálé	Terra	Ős-Druidák	-	-	3	3	-	-	Válassz egy Entitást a saját Ősforrásodból (temető/mana), és vedd vissza a kezedbe!	return target entity from your source to your hand	source, hand	blank	blank	own_entity	graveyard_recursion, return_to_hand	instant	none	Egy saját Ősforrásban lévő entitást visszaveszel a kezedbe.	elso_koros_gepi_ertelmezes	Egyszerű forrásból kézbe visszavétel.
Bőséges Szüret	Rituálé	Terra	Ős-Druidák	-	-	4	3	-	-	"Húzz 1 lapot minden saját ""Növény"" és ""Druida"" Entitásod után a Domíniumon (maximum 3 lapot)."	draw 1 card for each allied Plant and Druid entity on your board, up to 3	dominium, deck	blank	blank	self	draw	instant	count_allied_plant_and_druid_entities_max_3	Annyi lapot húzol, ahány saját Növény és Druida entitásod van, legfeljebb 3-at.	osszetett_egyedi	Húzás darabszám-alapú szűréssel és felső limittel.
Földbe Gyökerezés	Rituálé	Terra	Ős-Druidák	-	-	5	4	-	-	Válassz 2 ellenséges Entitást a Horizonton. Mindkettő azonnal Kimerült állapotba kerül.	exhaust 2 target enemy Horizont entities	horizont	blank	blank	enemy_horizont_entities	exhaust	instant	target_exactly_2_enemy_horizont_entities	Két ellenséges Horizont-entitás azonnal kimerül.	elso_koros_gepi_ertelmezes	Egyszerű kétcélpontos exhaust.
Az Erdő Éneke	Rituálé	Terra	Ős-Druidák	-	-	6	5	-	-	Minden saját Entitásod a Domíniumon visszatölt magának legfeljebb 3 HP-t. Húzz 1 lapot.	all allied entities on your board heal up to 3 HP; draw 1 card	dominium, deck	blank	blank	own_entities	heal, draw	instant	none	Minden saját entitásod legfeljebb 3 HP-t gyógyul, majd húzol 1 lapot.	osszetett_egyedi	Tömeges heal és külön húzás kombinációja.
A Természet Szava	Rituálé	Terra	Ős-Druidák	-	-	2	2	-	-	Keresd ki a paklidból az egyik Bestia Entitásodat és vedd a kezedbe.	search your deck for a Beast entity and put it into your hand	deck, hand	blank	blank	own_deck	tutor	instant	target_must_be_beast_entity_in_own_deck	Kikeresel a paklidból egy Bestia entitást és a kezedbe veszed.	elso_koros_gepi_ertelmezes	Egyszerű tutor fajszűréssel.
Gyökerek Ébredése	Rituálé	Terra	Ős-Druidák	-	-	4	3	-	-	Húzz 2 lapot. A kezedből egy lapot azonnal Kimerült állapotban az Ősforrásodba helyezhetsz.	draw 2 cards; you may place a card from your hand into your source exhausted	hand, deck, source	blank	blank	own_hand	draw, exhaust	instant	may_place_1_card_from_hand_into_source_exhausted	Húzol 2 lapot, majd egy lapot a kezedből kimerülten az Ősforrásodba helyezhetsz.	osszetett_egyedi	Húzás és opcionális forrásba helyezés együtt.
Tövises Indák	Rituálé	Terra	Ős-Druidák	-	-	4	3	-	-	Céllozz meg egy Aktív ellenséges Entitást a Horizonton. Forgasd Kimerült állapotba! A következő Ébredés fázisban ez az Entitás nem állhat fel.	exhaust target active enemy Horizont entity; it does not ready on the next awakening	horizont	blank	blank	enemy_horizont_entity	exhaust	next_own_awakening	target_must_be_active_enemy_horizont_entity	Egy aktív ellenséges Horizont-entitás kimerül, és a következő Ébredés fázisban sem áll fel.	osszetett_egyedi	Exhaust és késleltetett felállásgátlás együtt.
Természetes Kiválasztódás	Rituálé	Terra	Ős-Druidák	-	-	5	4	-	-	A Domíniumon lévő minden Entitás amelynek a maximális HP-ja 3 vagy annál kevesebb megsemmisül.	destroy all entities on the board with max HP 3 or less	dominium	blank	blank	own_entities, enemy_entities	destroy	instant	target_entities_with_max_hp_lte_3	A Domíniumon lévő minden 3 vagy annál kisebb max HP-jú entitás megsemmisül.	osszetett_egyedi	Tömeges pusztítás max HP-alapú szűréssel.
Spórafelhő	Jel	Terra	Ős-Druidák	-	-	2	2	-	-	Aktiválás: Amikor egy ellenséges Entitás támadást indít. Hatás: A támadó belélegzi a spórákat, és a harc idejére elveszít -3 ATK-t.	when an enemy entity attacks: that attacker gets -3 ATK during combat	blank	blank	on_attack_declared	enemy_entity	atk_mod	during_combat	none	Amikor egy ellenséges entitás támad, a támadó -3 ATK-t kap a harc idejére.	elso_koros_gepi_ertelmezes	Egyszerű trap-alapú ideiglenes ATK-csökkentés.
Fa-ölelés	Jel	Terra	Ős-Druidák	-	-	3	2	-	-	Aktiválás: Amikor egy saját Entitásod halálos sebzést kapna. Hatás: Túléli 1 HP-val, a támadás megszakad, és az Entitásod azonnal a Zenitbe húzódik (ha van hely).	when your allied entity would take lethal damage: it survives with 1 HP, the attack is canceled, and it moves to Zenit if there is space	zenit	blank	on_combat_damage_taken	own_entity	damage_prevention, attack_restrict, move_zenit	instant	if_target_would_take_lethal_damage_and_there_is_space_in_zenit	Ha egy saját entitásod halálos sebzést kapna, 1 HP-val túléli, a támadás megszakad, és a Zenitbe húzódik, ha van hely.	osszetett_egyedi	Halálmegelőzés, támadásmegszakítás és mentő hátralépés együtt.
Visszacsapó Ág	Jel	Terra	Ős-Druidák	-	-	4	2	-	-	Aktiválás: Amikor az ellenfél megtámadja egy Oltalom (Aegis) képességű Entitásodat. Hatás: A pajzs visszaüt! A támadó Entitás azonnal kap 4 sebzést a harc előtt.	when enemy attacks your aegis entity: the attacker takes 4 damage before combat	blank	aegis	on_attack_declared	enemy_entity	damage	instant	target_must_be_attacking_an_allied_entity_with_aegis	Ha az ellenfél egy Aegis-es entitásodat támadja, a támadó 4 sebzést kap a harc előtt.	elso_koros_gepi_ertelmezes	Egyszerű Aegis-feltételes sebző trap.
Rengés	Jel	Terra	Ős-Druidák	-	-	4	3	-	-	Aktiválás: Amikor az ellenfél egy 4-es vagy nagyobb Magnitúdójú Entitást idéz. Hatás: A föld megnyílik alatta, és az új Entitás azonnal elszenved 3 sebzést.	when enemy summons an entity with magnitude 4 or more: that entity takes 3 damage	blank	blank	on_enemy_summon	enemy_entity	damage	instant	trigger_only_if_enemy_summoned_entity_has_magnitude_gte_4	Ha az ellenfél egy 4-es vagy nagyobb Magnitúdójú entitást idéz, az új entitás 3 sebzést szenved el.	elso_koros_gepi_ertelmezes	Egyszerű summon-triggeres sebző trap.
